a,z,H_km_s_Mpc,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_eff,D,f
0.00027565569697944327,3626.713887134261,11868987.491205433,0.41027894671451565,2.1986467156124947e-11,0.48617836557529626,-5.3589069902349996e-11,0.17127387811225267,0.0005470435242551149,0.7377198958620957
0.00027778135107524613,3598.9536906605276,11709922.450404953,0.4118984882688491,2.258784286037835e-11,0.4880975136829711,-5.483837280897331e-11,0.17063416207555918,0.0005501524870809582,0.7377717341447718
0.00027992339665283006,3571.4059223253566,11553074.324416123,0.4135183260019224,2.320532530931243e-11,0.49001701276084253,-5.611680026945732e-11,0.16999432904877868,0.0005532793729459128,0.737839459253006
0.00028208196011125374,3544.0689565741736,11398411.135943556,0.4151384121911295,2.383933629624588e-11,0.49193680625787684,-5.742503125415743e-11,0.1693543978822553,0.000556424354061545,0.7379228643680349
0.00028425716882427075,3516.941180291587,11245901.380881505,0.41675869908456004,2.4490308406584016e-11,0.49385683758831433,-5.876376056202202e-11,0.16871438743790815,0.0005595876039086645,0.7380217444995202
0.0002864491511478492,3490.020992706155,11095514.021201357,0.41837913890662803,2.515868528772844e-11,0.4957770501383406,-6.013369918960122e-11,0.16807431658700828,0.0005627692972459589,0.7381358964571777
0.00028865803642774224,3463.306805295972,10947218.47794734,0.419999683863703,2.5844921925596056e-11,0.49769738727275803,-6.153557470865333e-11,0.1674342042079541,0.0005659696101187121,0.7382651188232746
0.00029088395500712376,3436.7970416948915,10800984.624337792,0.4216202861497495,2.6549484927911143e-11,0.4996177923416693,-6.297013165255898e-11,0.16679406918404427,0.0005691887198675844,0.7384092119259698
0.0002931270382342785,3410.490137599525,10656782.778971227,0.4232408979519668,2.7272852814429735e-11,0.5015382086871605,-6.443813191174047e-11,0.16615393040124937,0.0005724268051374786,0.7385679778134819
0.000295387418470351,3384.3845406769524,10514583.69913524,0.42486147145643005,2.801551631426472e-11,0.5034585796499853,-6.59403551382992e-11,0.1655138067459842,0.0005756840458864705,0.738741220229056
0.0002976652290971597,3358.47871047308,10374358.574216412,0.4264819588537351,2.8777978670484134e-11,0.5053788485762546,-6.747759916008983e-11,0.16487371710287782,0.0005789606233948249,0.7389287445867088
