a,z,rho_de_eff,w_eff_de,positive_rho_de_eff
0.0001834648882945647,5449.63422922884,1242847879.7189026,-8.207704615958988e-08,True
0.00018487963464485852,5407.924579069693,1214533885.95372,-8.208129054221303e-08,True
0.00018630529047900077,5366.5341018440595,1186864928.6859283,-8.20862169348402e-08,True
0.00018774193992291183,5325.460355158826,1159826312.988083,-8.209076440834906e-08,True
0.000189189667751228,5284.700915310737,1133403678.7059326,-8.209591817465167e-08,True
0.00019064855939230653,5244.253377143295,1107582992.8316956,-8.2100996223744e-08,True
0.00019211870093326406,5204.115353904919,1082350542.0511703,-8.210577107092831e-08,True
0.00019360017912505882,5164.284477108028,1057692925.4606323,-8.211100066546351e-08,True
0.00019509308138760865,5124.75839638932,1033597047.4496384,-8.211615443176612e-08,True
0.00019659749581494844,5085.534779371103,1010050110.745964,-8.212138402630131e-08,True
0.00019811351118043097,5046.611311523598,987039609.6190186,-8.212691682274453e-08,True
0.0001996412169419625,5007.985696028436,964553323.23806,-8.21326769928632e-08,True
0.00020118070324728416,4969.655653643062,942579309.1817398,-8.2138664425635e-08,True
0.00020273206093928894,4931.618922566296,921105897.09552,-8.214450042398624e-08,True
0.00020429538156138476,4893.87325830481,900121682.493515,-8.215033631131519e-08,True
0.00020587075736289362,4856.41643354075,879615520.7016983,-8.215685431967046e-08,True
0.0002074582813044975,4819.246238000242,859576520.9388885,-8.216314506537259e-08,True
0.00020905804706372293,4782.36047832299,839994040.5327072,-8.216935987181984e-08,True
0.00021067014904046748,4745.756977932885,820857679.2673264,-8.217618108208313e-08,True
0.0002122946823625728,4709.4335769095005,802157273.8598557,-8.21831539488116e-08,True
0.0002139317428914351,4673.3881318607055,783882892.5627136,-8.219012670451775e-08,True
0.00021558142722766469,4637.618515796124,766024829.8888168,-8.219725111668907e-08,True
0.00021724383271678316,4602.122618001689,748573601.4571304,-8.220445124607068e-08,True
0.00021891905745497053,4566.898343915033,731519938.9553909,-8.22119545773603e-08,True
0.00022060720029485232,4531.943615001917,714854785.217865,-8.221930636320707e-08,True
0.00022230836085133164,4497.256368633604,698569289.414978,-8.222696123993956e-08,True
0.00022402263950747022,4462.834557965085,682654802.3527908,-8.22356014396064e-08,True
0.00022575013742040845,4428.676151814369,667102871.879303,-8.224340797280405e-08,True
0.00022749095652733784,4394.7791345425585,651905238.3955879,-8.225204817247089e-08,True
0.00022924519955151305,4361.14150593497,637053830.4691925,-8.226137049316407e-08,True
0.0002310129700083161,4327.761281083056,622540760.547287,-8.2269252743572e-08,True
0.00023279437221136357,4294.636490267295,608358320.7676811,-8.227774139779598e-08,True
0.00023458951127866077,4261.765178840987,594498978.8652534,-8.228774583951548e-08,True
0.00023639849313880737,4229.145407114861,580955374.1714554,-8.229684078653321e-08,True
0.00023822142453724495,4196.775250242676,567720313.7051353,-8.230616310722638e-08,True
0.00024005841304255908,4164.652798107574,554786768.3523788,-8.23160917207133e-08,True
0.00024190956705282354,4132.776155209435,542147869.1333389,-8.232639936434083e-08,True
0.0002437749958019996,4101.143440552968,529796903.55412674,-8.233701009885408e-08,True
0.0002456548093663806,4069.7527875367387,517727312.04182816,-8.234746928792447e-08,True
0.000247549118671086,4038.602343843049,505932684.4607277,-8.235792847699486e-08,True
0.0002494580354966099,4007.690271328581,494406756.707901,-8.236891824164871e-08,True
0.0002513816724854139,3977.014745915989,483143407.3863754,-8.238043847086374e-08,True
0.0002533201431485769,3946.5739574862064,472136654.5540314,-8.23918071546359e-08,True
0.0002552735618724902,3916.3661097716913,461380652.5466385,-8.240355475752636e-08,True
0.0002572420439256107,3886.38942025037,450869688.87322235,-8.241575721879002e-08,True
0.00025922570546525894,3856.6421200405166,440598181.1821785,-8.24282627709394e-08,True
0.0002612246635444768,3827.1224537963176,430560674.2964821,-8.244054094941333e-08,True
0.00026323903611893317,3797.828679604317,420751837.31645966,-8.245357696612388e-08,True
0.00026526894205388296,3768.7590688806463,411166460.7885933,-8.246767413400136e-08,True
0.00026731450113118434,3739.9119062689792,401799453.93873215,-8.248131655452795e-08,True
0.0002693758340563633,3711.2854895393602,392645841.96842194,-8.24943526822608e-08,True
0.00027145306246573994,3682.878129487708,383700763.4127941,-8.250852567837086e-08,True
0.0002735463089336025,3654.6881498361895,374959467.55869675,-8.252360805816039e-08,True
0.00027565569697944327,3626.713887134261,366417311.9215107,-8.253831162985392e-08,True
0.00027778135107524613,3598.9536906605276,358069759.77960587,-8.255369721155148e-08,True
0.00027992339665283006,3571.4059223253566,349912377.76488304,-8.256938599515706e-08,True
0.00028208196011125374,3544.0689565741736,341940833.50819016,-8.258507477876265e-08,True
0.00028425716882427075,3516.941180291587,334150893.3384628,-8.26012941379517e-08,True
0.0002864491511478492,3490.020992706155,326538420.03417206,-8.261781658802647e-08,True
0.00028865803642774224,3463.306805295972,319099370.6261139,-8.26353243610356e-08,True
0.00029088395500712376,3436.7970416948915,311829794.25014305,-8.265275630581215e-08,True
0.0002931270382342785,3410.490137599525,304725830.0489044,-8.267087048263733e-08,True
