a,z,Gamma,H,rho_A,rho_B,Omega_A,Omega_B,w_dark,w_B_eff,D,f
0.0001622464286568225,6162.463863449112,1.398367885270899e-07,30743826.0747911,63754383025.96235,-5709.046494668896,0.3064178148948406,-2.7438953511903845e-08,8.954752183194994e-08,-0.47946893378187283,0.00036242306149629315,0.7882054125457648
0.00016349755384444887,6115.299458225518,1.4139067423320226e-07,30317321.677661203,62301959556.4917,-5640.971740905337,0.30792137403732117,-2.7879954045270203e-08,9.054245310756011e-08,-0.47946816775884726,0.00036462173728835464,0.7865263089393311
0.0001647583267897983,6068.495967119273,1.4296182693187853e-07,29896938.236632694,60882624539.73529,-5573.708612514553,0.30942808560189494,-2.832765503641461e-08,9.154843709375836e-08,-0.4794673924966536,0.00036682907299320956,0.7848847002868499
0.00016602882188928642,6022.050628323036,1.4455043849632513e-07,29482585.596416295,59495624169.57952,-5507.2474328446915,0.3109379149200451,-2.8782150916454557e-08,9.25655965374715e-08,-0.4794666078838221,0.0003690451701596085,0.7832800973062232
0.00016730911411301844,5975.960701163555,1.461567029318689e-07,29074174.952173375,58140221812.78042,-5441.578640614402,0.3124508269952828,-2.924353732076908e-08,9.359405554792094e-08,-0.4794658138075375,0.0003712701311424455,0.7817120189743719
0.00016859927900921508,5930.223465939871,1.477808163996521e-07,28671618.82910214,56815697617.736916,-5376.692788537218,0.313966786505791,-2.9711911102520606e-08,9.463393961172316e-08,-0.47946501015362286,0.0003735040591078009,0.780179992313593
0.00016989939270866818,5884.836223762914,1.494229772405852e-07,28274831.062335096,55521348132.18156,-5312.580541962569,0.3154857578071318,-3.0187370346308424e-08,9.568537560815332e-08,-0.47946419680652286,0.0003757470580380132,0.7786835521842674
0.00017120953192923557,5839.7962963961645,1.5108338599957196e-07,27883726.777140092,54256485929.57591,-5249.232677532754,0.31700770493503017,-3.0670014381958483e-08,9.674849182458155e-08,-0.4794633736492868,0.0003779992327367865,0.7772222410837143
0.0001725297739803655,5795.101026097696,1.52762245449997e-07,27498222.369423434,53020439244.02205,-5186.640081856155,0.3185325916082198,-3.115994379844718e-08,9.782341797207573e-08,-0.47946254056355275,0.00038026068883433684,0.7757956089509848
0.0001738601967676608,5750.747775463273,1.5445976061849207e-07,27118235.486527406,51812551613.48691,-5124.7937501960705,0.32006038123136454,-3.1657260457964205e-08,9.891028520118063e-08,-0.4794616974295296,0.0003825315327925667,0.7744032129774135
0.00017520087879747511,5706.733927270754,1.5617613880997333e-07,26743685.008320235,50632181531.157486,-5063.684785175305,0.3215910368980438,-3.216206751011282e-08,1.0000922611786864e-07,-0.47946084412597967,0.00038481187191028403,0.773044617422734
0.00017655189918154432,5663.056884325682,1.5791158963295634e-07,26374491.028572977,49478702104.73858,-5003.304395496213,0.32312452139380643,-3.267446940625008e-08,1.0112037479966683e-07,-0.4794599805302022,0.0003871018143284487,0.7717193934365808
0.00017791333764165718,5619.71406930796,1.596663250251572e-07,26010574.836618155,48351500723.50961,-4943.643894675865,0.3246607971992959,-3.319457191396971e-08,1.0224386681196474e-07,-0.4794591065180147,0.0003894014690354635,0.7704271188852084
0.000179285274514357,5576.702924619841,1.614405592793715e-07,25651858.89928803,47249978732.97039,-4884.694699796494,0.3261998264934381,-3.372248213172612e-08,1.033798392244984e-07,-0.4794582219637358,0.00039171094587249754,0.7691673781832659
