product_id,source_figure,evidence_level,z,beta_mean,beta_68_low,beta_68_high,beta_95_low,beta_95_high,digitization_sigma
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.55,-0.9778672032193159,-1.3319919517102616,-0.1569416498993963,-1.404426559356137,0.21327967806841053,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.56,-0.9094567404426559,-1.3319919517102616,-0.1569416498993963,-1.404426559356137,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.5700000000000001,-0.7082494969818913,-1.3078470824949697,-0.1569416498993963,-1.3883299798792756,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.58,-0.7082494969818913,-0.9215291750503019,-0.1569416498993963,-1.3722334004024144,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.59,-0.7082494969818913,-0.9215291750503019,-0.16297786720321927,-1.348088531187123,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.6,-0.8571428571428572,-0.9215291750503019,-0.16498993963782693,-1.3319919517102616,0.18913480885311862,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.61,-0.8571428571428572,-1.2012072434607646,-0.4728370221327969,-1.2756539235412476,0.18913480885311862,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.62,-0.8571428571428572,-1.2012072434607646,-0.4728370221327969,-1.2756539235412476,0.18913480885311862,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.63,-0.8490945674044266,-1.2012072434607646,-0.4728370221327969,-1.2756539235412476,0.18913480885311862,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.64,-0.7927565392354126,-1.1770623742454727,-0.4567404426559357,-1.2595573440643864,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.65,-0.7766599597585513,-1.0985915492957745,-0.4386317907444668,-1.2354124748490944,0.19718309859154926,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.66,-0.7484909456740443,-1.0503018108651911,-0.14285714285714268,-1.211267605633803,0.2052313883299799,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.67,-0.47484909456740443,-0.8088531187122738,-0.13279678068410483,-1.1227364185110664,0.2052313883299799,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.68,-0.45472837022132806,-0.8068410462776662,-0.1247484909456742,-1.1227364185110664,0.2052313883299799,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.6900000000000001,-0.43460764587525147,-0.8068410462776662,-0.10865191146881292,-1.1227364185110664,0.21327967806841053,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.7000000000000001,-0.43058350100603615,-0.8068410462776662,-0.10865191146881292,-1.0985915492957745,0.22132796780684094,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.71,-0.43058350100603615,-0.9054325955734406,-0.10865191146881292,-1.074446680080483,0.22132796780684094,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.72,-0.43058350100603615,-0.9054325955734406,-0.10865191146881292,-1.0422535211267605,0.22132796780684094,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.73,-0.43058350100603615,-0.9054325955734406,-0.11670020120724356,-0.9778672032193159,0.22132796780684094,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.74,-0.43058350100603615,-0.9034205231388329,-0.11670020120724356,-0.9778672032193159,0.23742454728370221,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.75,-0.3863179074446681,-0.6800804828973841,-0.11670020120724356,-0.9698189134808852,0.24547283702213285,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.76,-0.35010060362173023,-0.647887323943662,-0.06036217303822955,-0.953722334004024,0.2535211267605635,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.77,-0.32595573440643877,-0.6317907444668007,-0.04426559356136828,-0.9376257545271631,0.2615694164989939,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.78,-0.31790744466800813,-0.6217303822937624,-0.028169014084507005,-0.9215291750503019,0.2615694164989939,0.035
