z_star,omega_m0,c_eff2,S8,chi2_fsigma8,chi2_S8,chi2_total,dmu_gate_mag
6.0,0.31,2.154435e-06,0.8494,9.579,19.962,29.541,0.0090
6.0,0.31,4.641589e-06,0.8238,7.111,10.181,17.292,0.0090
6.0,0.31,1.000000e-05,0.8018,7.281,4.365,11.646,0.0090
6.0,0.31,2.154435e-05,0.7830,8.625,1.322,9.947,0.0090
6.0,0.31,4.641589e-05,0.7668,10.420,0.114,10.534,0.0090
6.0,0.31,1.000000e-04,0.7528,12.340,0.130,12.470,0.0090
6.0,0.31,2.154435e-04,0.7413,14.163,0.875,15.038,0.0090
6.0,0.31,4.641589e-04,0.7326,15.685,1.881,17.566,0.0090
6.0,0.31,1.000000e-03,0.7267,16.778,2.773,19.551,0.0090
6.0,0.31,2.154435e-03,0.7232,17.454,3.386,20.839,0.0090
6.0,0.31,4.641589e-03,0.7213,17.824,3.739,21.563,0.0090
6.0,0.31,1.000000e-02,0.7204,18.012,3.923,21.935,0.0090
6.0,0.33,1.000000e-07,0.9699,49.203,110.129,159.332,0.0265
6.0,0.33,2.154435e-07,0.9599,42.199,99.949,142.148,0.0265
6.0,0.33,4.641589e-07,0.9433,32.023,83.992,116.014,0.0265
6.0,0.33,1.000000e-06,0.9200,20.956,63.966,84.922,0.0265
6.0,0.33,2.154435e-06,0.8935,12.638,44.575,57.213,0.0265
6.0,0.33,4.641589e-06,0.8685,8.426,29.442,37.867,0.0265
6.0,0.33,1.000000e-05,0.8469,7.122,18.893,26.014,0.0265
6.0,0.33,2.154435e-05,0.8285,7.280,11.740,19.021,0.0265
6.0,0.33,4.641589e-05,0.8126,8.103,6.921,15.024,0.0265
6.0,0.33,1.000000e-04,0.7989,9.214,3.780,12.995,0.0265
6.0,0.33,2.154435e-04,0.7875,10.382,1.891,12.272,0.0265
6.0,0.33,4.641589e-04,0.7788,11.416,0.883,12.300,0.0265
6.0,0.33,1.000000e-03,0.7729,12.189,0.414,12.603,0.0265
6.0,0.33,2.154435e-03,0.7693,12.678,0.217,12.896,0.0265
6.0,0.33,4.641589e-03,0.7674,12.950,0.137,13.088,0.0265
6.0,0.33,1.000000e-02,0.7665,13.090,0.104,13.194,0.0265
